pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
HD 114762 b,,3710.00000,1989,2014-05-14,NaN
PSR B1257+12 c,,4.30000,1992,2015-04-30,NaN
PSR B1257+12 d,,3.90000,1992,2015-04-30,NaN
PSR B1257+12 b,,0.02000,1994,2015-04-30,NaN
51 Peg b,,150.00900,1995,2014-05-14,NaN
47 UMa b,,804.08000,1996,2014-05-14,NaN
ups And b,,218.53100,1996,2014-05-14,NaN
55 Cnc b,,263.97850,1996,2014-10-29,NaN
tau Boo b,,1373.02560,1996,2015-04-16,NaN
70 Vir b,,2351.94200,1996,2015-04-24,NaN
16 Cyg B b,,533.95440,1996,2015-09-10,NaN
HD 217107 b,,441.77000,1998,2014-05-14,NaN
HD 168443 b,,2434.15700,1998,2014-06-25,NaN
HD 187123 b,,166.21800,1998,2014-07-23,NaN
HD 195019 b,,1172.70000,1998,2014-07-23,NaN
GJ 876 b,,723.22350,1998,2014-08-27,NaN
HD 210277 b,,409.98000,1998,2014-11-19,NaN
ups And c,,629.59500,1999,2014-05-14,NaN
GJ 86 b,,1242.66000,1999,2014-05-14,NaN
HD 10697 b,,1973.64000,1999,2014-05-14,NaN
ups And d,,1313.22000,1999,2014-05-14,NaN
HD 89744 b,,2682.37000,1999,2014-05-14,NaN
HD 134987 b,,505.00000,1999,2014-05-14,NaN
HD 177830 b,,473.54700,1999,2014-05-14,NaN
HD 222582 b,,2463.10000,1999,2014-07-23,NaN
HD 192263 b,,203.72000,1999,2014-08-21,NaN
HD 130322 b,,365.49000,1999,2015-02-19,NaN
HD 75289 b,,148.42661,1999,2015-04-16,NaN
HR 810 b,,676.97790,1999,2015-04-30,NaN
HD 38529 c,,4252.39000,2000,2014-05-14,NaN
HD 16141 b,,82.60000,2000,2014-05-14,NaN
GJ 3021 b,,1071.04000,2000,2014-05-14,NaN
HD 12661 b,,731.00000,2000,2014-05-14,NaN
HD 38529 b,,266.64813,2000,2014-05-14,NaN
HD 169830 b,,915.31000,2000,2014-06-25,NaN
HD 179949 b,,291.12000,2000,2014-07-09,NaN
HD 46375 b,,71.80000,2000,2014-07-23,NaN
HD 27442 b,,495.80000,2000,2014-07-23,NaN
HD 160691 b,,343.24000,2000,2014-08-21,NaN
BD-10 3166 b,,145.56000,2000,2014-08-27,NaN
GJ 876 c,,226.98460,2000,2014-08-27,NaN
HD 168443 c,,5464.22100,2000,2015-02-05,NaN
HD 52265 b,,334.00000,2000,2015-03-26,NaN
HD 92788 b,,1137.83140,2000,2015-04-24,NaN
eps Eri b,,492.63650,2000,2015-09-03,NaN
HD 114783 b,,349.60000,2001,2014-05-14,NaN
HD 28185 b,,1776.59000,2001,2014-05-14,NaN
47 UMa c,,171.62100,2001,2014-05-14,NaN
HD 4203 b,,578.43000,2001,2014-05-14,NaN
HD 178911 B b,,2234.25000,2001,2014-05-14,NaN
HD 80606 b,10.980,1252.20000,2001,2014-05-14,10.39
HD 4208 b,,255.50000,2001,2014-07-23,NaN
HD 39091 b,,3264.00000,2001,2014-07-23,NaN
HD 23079 b,,778.70000,2001,2014-07-23,NaN
HD 142 b,,397.27000,2001,2014-08-21,NaN
HD 68988 b,,591.00000,2001,2015-03-26,NaN
HD 213240 b,,1430.23500,2001,2015-04-30,NaN
HD 40979 b,,1274.44000,2002,2014-05-14,NaN
HD 162020 b,,4580.00000,2002,2014-05-14,NaN
