kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
,CANDIDATE,Active,007/007678/007678434/dv/kplr007678434-002-20141002224145_dvs.pdf,2015-09-18
Kepler-227 b,CONFIRMED,Active,010/010797/010797460/dv/kplr010797460-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010811/010811496/dv/kplr010811496-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010848/010848459/dv/kplr010848459-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010854/010854555/dv/kplr010854555-001-20141002224145_dvs.pdf,2015-09-18
Kepler-228 d,CONFIRMED,Active,010/010872/010872983/dv/kplr010872983-001-20141002224145_dvs.pdf,2015-09-18
Kepler-228 c,CONFIRMED,Active,010/010872/010872983/dv/kplr010872983-002-20141002224145_dvs.pdf,2015-09-18
Kepler-228 b,CONFIRMED,Active,010/010872/010872983/dv/kplr010872983-003-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006721/006721123/dv/kplr006721123-001-20141002224145_dvs.pdf,2015-09-18
Kepler-229 c,CONFIRMED,Active,010/010910/010910878/dv/kplr010910878-001-20141002224145_dvs.pdf,2015-09-18
Kepler-1 b,CONFIRMED,Active,011/011446/011446443/dv/kplr011446443-001-20141002224145_dvs.pdf,2015-09-18
Kepler-2 b,CONFIRMED,Active,010/010666/010666592/dv/kplr010666592-001-20141002224145_dvs.pdf,2015-09-18
Kepler-8 b,CONFIRMED,Active,006/006922/006922244/dv/kplr006922244-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010984/010984090/dv/kplr010984090-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010419/010419211/dv/kplr010419211-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010464/010464078/dv/kplr010464078-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010480/010480982/dv/kplr010480982-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010485/010485250/dv/kplr010485250-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010526/010526549/dv/kplr010526549-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010583/010583066/dv/kplr010583066-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010583/010583180/dv/kplr010583180-001-20141002224145_dvs.pdf,2015-09-18
Kepler-226 c,CONFIRMED,Active,010/010601/010601284/dv/kplr010601284-001-20141002224145_dvs.pdf,2015-09-18
