pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
55 Cnc e,1.920,8.08000,2004,2016-01-21,2.19
CoRoT-7 b,1.585,5.74000,2009,2015-03-05,2.29
Kepler-11 b,1.800,1.90000,2010,2014-05-14,1
Kepler-20 b,1.910,8.70000,2011,2014-05-14,2.39
KOI-55 c,0.867,0.65500,2011,2014-05-14,1
KOI-55 b,0.759,0.44000,2011,2014-05-14,1
Kepler-10 b,1.481,4.60853,2011,2015-10-15,2.10
Kepler-36 b,1.486,4.45000,2012,2014-05-14,2.02
Kepler-21 b,1.635,10.40000,2012,2014-05-14,3.89
Kepler-78 b,1.173,1.86000,2013,2014-05-14,1.35
KOI-94 b,1.710,10.50000,2013,2014-05-14,3.59
Kepler-114 c,1.600,2.80000,2013,2014-05-14,1.09
Kepler-62 d,1.950,14.00000,2013,2014-05-14,3.68
Kepler-102 d,1.180,3.80000,2014,2014-05-14,2.73
Kepler-102 f,0.880,0.62000,2014,2014-05-14,1
Kepler-97 b,1.480,3.51000,2014,2014-05-14,1.60
Kepler-113 b,1.820,11.70000,2014,2014-05-14,3.53
Kepler-409 b,1.190,2.69000,2014,2014-05-14,1.90
Kepler-406 b,1.430,6.35000,2014,2014-05-14,3.11
Kepler-99 b,1.480,6.15000,2014,2014-05-14,2.81
Kepler-407 b,1.070,0.06000,2014,2014-05-14,1
Kepler-98 b,1.990,3.55000,2014,2014-05-14,1
Kepler-406 c,0.850,2.71000,2014,2014-05-14,3.75
Kepler-100 d,1.610,3.00000,2014,2014-05-14,1.16
Kepler-408 b,0.820,0.48000,2014,2014-05-14,1
Kepler-102 b,0.470,0.41000,2014,2014-05-14,1.86
Kepler-106 b,0.820,0.15000,2014,2014-05-14,1
Kepler-338 e,1.560,8.50000,2014,2014-05-28,3.49
Kepler-414 b,1.710,3.50000,2014,2014-05-28,1.20
Kepler-101 c,1.250,3.78000,2014,2014-09-25,2.42
Kepler-93 b,1.478,4.02000,2014,2015-04-16,1.84
Kepler-138 d,1.212,0.64000,2014,2015-06-17,1
Kepler-138 b,0.522,0.06600,2014,2015-06-17,1
Kepler-138 c,1.197,1.97000,2014,2015-06-17,1.38
K2-3 c,1.644,2.10000,2015,2015-10-15,1
GJ 1132 b,1.160,1.62000,2015,2015-11-12,1.20
